id,id1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
31,465,6.37482E+18,1.23767E+18,20.38977051,19.97663498,19.93909836,19.84212494,19.77915382,0.100078583,0.077980556,0.053946588,0.040088095,0.029818179,20.482584,21.53704453,1,0.686335802,0.092813492,0.50594902,0.543485641,0.640459061,0.703430176,0.413135529,0.45067215,0.547645569,0.610616684,0.037536621,0.13451004,0.197481155,0.096973419,0.159944534,0.062971115,-1.054460526,-1.147274017,-1.560409546,-1.597946167,-1.694919586,-1.757890701,1
32,466,6.37482E+18,1.23767E+18,19.79411507,19.30495834,19.13903427,18.67088127,18.52142143,0.102354214,0.079753704,0.055173244,0.040999636,0.030496195,20.77892303,21.45256805,1,0.596322119,0.984807968,1.473964691,1.639888763,2.108041763,2.257501602,0.489156723,0.655080795,1.123233795,1.272693634,0.165924072,0.634077072,0.783536911,0.468153,0.617612839,0.149459839,-0.67364502,-1.658452988,-2.147609711,-2.313533783,-2.781686783,-2.931146622,1
33,527,3.05587E+18,1.23767E+18,21.70736694,21.24222755,20.932127,20.66710472,20.27596474,0.126000658,0.098178864,0.067919686,0.050471604,0.037541602,23.36553001,23.31727028,1,1.41706264,1.658163071,2.12330246,2.433403015,2.698425293,3.089565277,0.465139389,0.775239944,1.040262222,1.431402206,0.310100555,0.575122833,0.966262817,0.265022278,0.656162262,0.391139984,0.048259735,-1.609903336,-2.075042725,-2.38514328,-2.650165558,-3.041305542,1
34,534,6.38787E+18,1.23767E+18,20.90460205,20.20215034,19.69641113,19.49669647,19.41109467,0.102835059,0.080128387,0.055432446,0.041192248,0.030639464,21.66695023,21.82673645,1,1.083479881,0.762348175,1.464799881,1.970539093,2.170253754,2.25585556,0.702451706,1.208190918,1.407905579,1.493507385,0.505739212,0.705453873,0.791055679,0.199714661,0.285316467,0.085601807,-0.159786224,-0.922134399,-1.624586105,-2.130325317,-2.330039978,-2.415641785,1
35,542,6.38787E+18,1.23767E+18,19.93834114,19.91655731,19.53038788,19.57044411,19.65517807,0.076155074,0.05933952,0.041050807,0.030505149,0.022690225,20.61710167,21.60674667,1,1.329654336,0.678760529,0.700544357,1.086713791,1.046657562,0.961923599,0.021783829,0.407953262,0.367897034,0.283163071,0.386169434,0.346113205,0.261379242,-0.040056229,-0.124790192,-0.084733963,-0.989645004,-1.668405533,-1.690189362,-2.076358795,-2.036302567,-1.951568604,1
36,543,6.38787E+18,1.23767E+18,19.93834114,19.91655731,19.53038788,19.57044411,19.65517807,0.076155074,0.05933952,0.041050807,0.030505149,0.022690225,20.61710167,21.60674667,1,1.329099655,0.678760529,0.700544357,1.086713791,1.046657562,0.961923599,0.021783829,0.407953262,0.367897034,0.283163071,0.386169434,0.346113205,0.261379242,-0.040056229,-0.124790192,-0.084733963,-0.989645004,-1.668405533,-1.690189362,-2.076358795,-2.036302567,-1.951568604,1
37,590,2.48683E+18,1.23767E+18,22.10314178,20.57167435,20.2528038,20.13014412,19.80285645,0.100043118,0.077952921,0.05392747,0.04007389,0.02980761,22.94654846,23.74141693,0,-0.00012039,0.843406677,2.374874115,2.693744659,2.816404343,3.143692017,1.531467438,1.850337982,1.972997665,2.300285339,0.318870544,0.441530228,0.768817902,0.122659683,0.449947357,0.327287674,-0.794868469,-1.638275146,-3.169742584,-3.488613129,-3.611272812,-3.938560486,1
38,594,6.38787E+18,1.23767E+18,19.96010971,19.80500221,19.49648476,19.44513512,19.39129448,0.113247909,0.088242002,0.061045408,0.045363281,0.033741947,20.60570908,21.54009056,1,1.157366037,0.645599365,0.800706863,1.109224319,1.160573959,1.214414597,0.155107498,0.463624954,0.514974594,0.568815231,0.308517456,0.359867096,0.413707733,0.05134964,0.105190277,0.053840637,-0.934381485,-1.57998085,-1.735088348,-2.043605804,-2.094955444,-2.148796082,1
39,605,6.38787E+18,1.23767E+18,22.04616547,21.57251549,21.4677639,21.30881119,21.14428902,0.086134605,0.067115501,0.046430193,0.034502611,0.025663603,21.59706116,22.19855309,1,0.854989171,-0.449104309,0.02454567,0.129297256,0.288249969,0.452772141,0.473649979,0.578401566,0.737354279,0.90187645,0.104751587,0.2637043,0.428226471,0.158952713,0.323474884,0.164522171,-0.601491928,-0.152387619,-0.626037598,-0.730789185,-0.889741898,-1.054264069,1
40,613,6.37841E+18,1.23767E+18,21.85128593,21.31198502,21.19352341,21.03062439,21.40564537,0.110842451,0.086367689,0.059748769,0.044399738,0.033025246,21.23065948,21.74030113,1,0.746139109,-0.62062645,-0.081325531,0.037136078,0.200035095,-0.174985886,0.539300919,0.657762527,0.820661545,0.445640564,0.118461609,0.281360626,-0.093660355,0.162899017,-0.212121964,-0.375020981,-0.509641647,0.110984802,-0.428316116,-0.546777725,-0.709676743,-0.334655762,1
