id,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
39,3.15E+18,1.24E+18,21.30592537,20.77056503,20.54644012,20.26848984,20.30086517,0.071410798,0.05564281,0.038493436,0.02860475,0.021276679,23.54508972,23.6872139,1,1.733977437,2.239164352,2.774524689,2.998649597,3.276599884,3.244224548,0.535360336,0.759485245,1.037435532,1.005060196,0.224124908,0.502075195,0.46969986,0.277950287,0.245574951,-0.032375336,-0.142124176,-2.381288528,-2.916648865,-3.140773773,-3.41872406,-3.386348724,1
40,3.15E+18,1.24E+18,21.93218994,20.79208755,20.02540779,19.56417084,19.14785576,0.069408916,0.054082956,0.037414338,0.027802864,0.020680223,22.47785378,23.41860771,1,0.70729059,0.545663834,1.68576622,2.452445984,2.913682938,3.329998016,1.140102386,1.90678215,2.368019104,2.784334183,0.766679764,1.227916718,1.644231796,0.461236954,0.877552032,0.416315079,-0.940753937,-1.48641777,-2.626520157,-3.393199921,-3.854436874,-4.270751953,1
41,3.16E+18,1.24E+18,20.72883224,20.27726746,19.92110825,19.65669823,19.40805817,0.074163079,0.05778737,0.039977036,0.029707221,0.022096716,21.89085197,22.52301216,1,1.63567853,1.16201973,1.613584518,1.969743729,2.234153748,2.482793808,0.451564789,0.807723999,1.072134018,1.320774078,0.35615921,0.620569229,0.86920929,0.264410019,0.513050079,0.24864006,-0.632160187,-1.794179916,-2.245744705,-2.601903915,-2.866313934,-3.114953995,1
42,3.19E+18,1.24E+18,21.76826096,21.41779327,21.17712975,21.30519485,21.12545204,0.04145696,0.032302983,0.022347054,0.016606256,0.012352004,23.71864128,23.2905674,1,2.407580614,1.950380325,2.300848007,2.541511536,2.413446426,2.59318924,0.350467682,0.59113121,0.463066101,0.642808914,0.240663528,0.112598419,0.292341232,-0.128065109,0.051677704,0.179742813,0.428073883,-1.522306442,-1.872774124,-2.113437653,-1.985372543,-2.165115356,1
43,6.37E+18,1.24E+18,20.33668327,20.32997322,20.07217598,20.10186768,20.08784485,0.081247069,0.063307166,0.043795604,0.032544829,0.024207374,19.84011078,20.73100281,1,1.261006713,-0.496572495,-0.489862442,-0.232065201,-0.261756897,-0.24773407,0.006710052,0.264507294,0.234815598,0.248838425,0.257797241,0.228105545,0.242128372,-0.029691696,-0.015668869,0.014022827,-0.890892029,-0.394319534,-0.401029587,-0.658826828,-0.629135132,-0.643157959,1
44,6.37E+18,1.24E+18,20.7473011,20.40200233,20.04592705,20.12627792,19.75111961,0.096285015,0.075024635,0.051901691,0.038568519,0.028687892,20.35040855,21.25830841,1,0.980889976,-0.396892548,-0.051593781,0.304481506,0.22413063,0.59928894,0.345298767,0.701374054,0.621023178,0.996181488,0.356075287,0.275724411,0.650882721,-0.080350876,0.294807434,0.37515831,-0.907899857,-0.511007309,-0.856306076,-1.212381363,-1.132030487,-1.507188797,1
45,6.37E+18,1.24E+18,20.95386696,20.61013794,20.48165321,20.51061249,20.20254326,0.089377113,0.069642045,0.048178043,0.035801448,0.026629701,20.75009918,21.56008339,1,0.817709148,-0.203767776,0.139961243,0.268445969,0.239486694,0.547555923,0.343729019,0.472213745,0.443254471,0.7513237,0.128484726,0.099525452,0.407594681,-0.028959274,0.279109955,0.308069229,-0.809984207,-0.606216431,-0.94994545,-1.078430176,-1.049470901,-1.357540131,1
46,6.37E+18,1.24E+18,21.88900185,21.64690018,21.37192345,21.30155373,21.82106972,0.064107254,0.049951941,0.034556519,0.025679199,0.019100606,21.65872002,21.95520973,1,0.939735115,-0.23028183,0.011819839,0.28679657,0.35716629,-0.162349701,0.242101669,0.5170784,0.58744812,0.067932129,0.27497673,0.345346451,-0.17416954,0.07036972,-0.449146271,-0.519515991,-0.296489716,-0.066207886,-0.308309555,-0.583286285,-0.653656006,-0.134140015,0
47,6.37E+18,1.24E+18,20.61236,20.59112358,20.48844528,20.54246902,20.32171059,0.09071628,0.070685513,0.048899911,0.036337875,0.027028702,21.38383675,22.04569817,1,0.879253626,0.771476746,0.792713165,0.895391464,0.841367722,1.06212616,0.02123642,0.123914719,0.069890976,0.290649414,0.102678299,0.048654556,0.269412994,-0.054023743,0.166734695,0.220758438,-0.66186142,-1.433338165,-1.454574585,-1.557252884,-1.503229141,-1.723987579,1
48,6.37E+18,1.24E+18,20.48813629,20.37962723,20.11694336,20.10300636,20.21109962,0.10644412,0.082940541,0.057377882,0.042637914,0.031714775,20.64212799,21.4187851,1,1.385231614,0.153991699,0.262500763,0.525184631,0.539121628,0.431028366,0.108509064,0.371192932,0.385129929,0.277036667,0.262683868,0.276620865,0.168527603,0.013936996,-0.094156265,-0.108093262,-0.776657104,-0.930648804,-1.039157867,-1.301841736,-1.315778732,-1.207685471,1
